image_id,label,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area
000001,0,223,90,286,131,63,41,2583
000002,0,488,90,539,130,51,40,2040
000003,0,151,129,313,252,162,123,19926
000004,0,331,115,441,185,110,70,7700
000005,0,382,143,485,230,103,87,8961
000006,0,248,125,495,297,247,172,42484
000007,0,1,99,658,462,657,363,238491
000008,0,264,94,648,331,384,237,91008
000009,0,203,80,614,384,411,304,124944
000010,0,180,103,445,331,265,228,60420
000011,0,340,140,483,208,143,68,9724
000012,1,254,153,575,356,321,203,65163
000013,1,179,223,277,326,98,103,10094
000014,0,63,93,716,406,653,313,204389
000015,0,115,91,484,335,369,244,90036
000016,0,308,97,538,217,230,120,27600
000017,0,395,159,436,216,41,57,2337
000018,0,157,67,635,478,478,411,196458
000019,0,130,68,677,487,547,419,229193
000020,0,286,153,365,203,79,50,3950
000021,0,211,139,285,205,74,66,4884
000022,0,89,160,165,272,76,112,8512
000023,1,223,237,318,345,95,108,10260
000024,0,58,142,420,368,362,226,81812
000025,0,203,79,304,137,101,58,5858
000026,0,87,111,243,199,156,88,13728
000027,0,214,91,295,144,81,53,4293
000028,0,111,114,194,162,83,48,3984
000029,0,79,106,448,328,369,222,81918
000030,0,106,118,376,352,270,234,63180
000031,0,124,75,211,125,87,50,4350
000032,0,239,250,297,357,58,107,6206
000033,0,340,217,404,269,64,52,3328
000034,0,299,149,357,209,58,60,3480
000035,0,153,62,694,372,541,310,167710
000036,0,70,64,449,336,379,272,103088
000037,0,101,54,406,266,305,212,64660
000038,0,174,69,373,218,199,149,29651
000039,0,210,62,336,162,126,100,12600
000040,0,177,50,400,221,223,171,38133
000041,0,179,135,604,409,425,274,116450
000042,0,264,178,333,256,69,78,5382
000043,0,236,159,326,204,90,45,4050
000044,0,403,83,460,125,57,42,2394
000045,0,300,118,497,367,197,249,49053
000046,0,211,105,501,300,290,195,56550
000047,0,313,107,538,341,225,234,52650
000048,0,410,133,635,325,225,192,43200
000049,0,294,187,367,268,73,81,5913
000050,0,204,193,268,260,64,67,4288
000051,0,302,77,404,175,102,98,9996
000052,0,278,84,380,184,102,100,10200
000053,0,395,69,569,202,174,133,23142
000054,0,206,82,285,155,79,73,5767
000055,0,168,74,350,198,182,124,22568
000056,1,196,189,281,277,85,88,7480
000057,0,290,75,503,210,213,135,28755
000058,1,302,197,383,274,81,77,6237
000059,0,325,181,546,339,221,158,34918
000060,0,324,174,579,362,255,188,47940
000061,0,331,80,552,195,221,115,25415
000062,0,346,91,544,201,198,110,21780
000063,0,206,185,464,367,258,182,46956
000064,0,305,119,571,269,266,150,39900
000065,0,316,61,490,143,174,82,14268
000066,1,104,130,230,255,126,125,15750
000067,1,162,143,307,280,145,137,19865
000068,0,241,88,364,192,123,104,12792
000069,0,279,121,443,364,164,243,39852
000070,0,214,148,299,218,85,70,5950
000071,0,135,56,591,290,456,234,106704
000072,0,267,123,599,279,332,156,51792
000073,0,223,153,580,276,357,123,43911
000074,0,311,167,396,217,85,50,4250
000075,0,136,174,334,264,198,90,17820
000076,1,149,165,262,301,113,136,15368
000077,1,172,124,236,194,64,70,4480
000078,1,251,55,359,161,108,106,11448
000079,1,109,86,201,143,92,57,5244
000080,1,170,87,279,155,109,68,7412
000081,1,335,233,417,313,82,80,6560
000082,0,307,161,389,258,82,97,7954
000083,0,243,170,315,261,72,91,6552
000084,0,314,172,410,282,96,110,10560
000085,1,160,93,243,219,83,126,10458
000086,0,427,232,456,265,29,33,957
000087,0,357,155,393,179,36,24,864
000088,1,177,81,282,186,105,105,11025
000089,1,282,72,395,167,113,95,10735
000090,1,270,126,352,206,82,80,6560
000091,0,446,115,520,189,74,74,5476
000092,0,459,93,517,169,58,76,4408
000093,0,324,127,461,200,137,73,10001
000094,1,286,216,392,309,106,93,9858
000095,1,315,228,423,307,108,79,8532
000096,1,284,267,357,360,73,93,6789
000097,1,363,152,407,196,44,44,1936
000098,1,252,150,331,223,79,73,5767
000099,0,57,66,419,420,362,354,128148
000100,0,151,57,457,288,306,231,70686
000101,1,336,150,561,323,225,173,38925
000102,1,358,174,510,352,152,178,27056
000103,1,434,163,539,274,105,111,11655
000104,0,324,66,479,187,155,121,18755
000105,0,382,66,625,174,243,108,26244
000106,0,184,119,288,232,104,113,11752
000107,0,171,130,336,259,165,129,21285
000108,1,308,130,515,284,207,154,31878
000109,1,255,142,423,312,168,170,28560
000110,1,420,119,522,230,102,111,11322
000111,0,313,74,474,202,161,128,20608
000112,0,364,86,524,213,160,127,20320
000113,0,99,110,553,319,454,209,94886
000114,1,328,82,403,187,75,105,7875
000115,1,315,145,384,206,69,61,4209
000116,1,349,156,397,209,48,53,2544
000117,0,421,79,594,196,173,117,20241
000118,0,293,100,444,192,151,92,13892
000119,0,492,85,671,222,179,137,24523
000120,0,435,96,682,179,247,83,20501
000121,0,341,164,587,358,246,194,47724
000122,0,398,171,498,261,100,90,9000
000123,0,423,196,500,256,77,60,4620
000124,0,300,151,528,284,228,133,30324
000125,0,114,84,435,319,321,235,75435
000126,0,179,105,435,267,256,162,41472
000127,0,226,98,379,244,153,146,22338
000128,0,99,70,439,333,340,263,89420
000129,0,88,58,428,324,340,266,90440
000130,0,180,163,268,233,88,70,6160
000131,0,343,196,398,257,55,61,3355
000132,0,267,177,351,258,84,81,6804
000133,0,411,75,572,180,161,105,16905
000134,0,322,80,364,111,42,31,1302
000135,0,382,47,546,158,164,111,18204
000136,0,166,102,234,138,68,36,2448
000137,0,145,66,422,325,277,259,71743
000138,0,347,70,591,337,244,267,65148
000139,0,413,82,601,299,188,217,40796
000140,0,190,90,509,369,319,279,89001
000141,0,176,82,501,378,325,296,96200
000142,0,224,99,552,378,328,279,91512
000143,0,246,118,345,177,99,59,5841
000144,0,281,113,326,163,45,50,2250
000145,0,165,78,223,111,58,33,1914
000146,1,210,149,296,228,86,79,6794
000147,1,213,115,311,197,98,82,8036
000148,0,314,117,382,166,68,49,3332
000149,0,354,43,501,181,147,138,20286
000150,1,319,92,551,209,232,117,27144
000151,0,240,147,438,265,198,118,23364
000152,0,218,143,420,264,202,121,24442
000153,0,281,124,438,262,157,138,21666
000154,0,253,131,411,229,158,98,15484
000155,0,202,119,392,259,190,140,26600
000156,0,307,58,436,192,129,134,17286
000157,0,267,84,315,139,48,55,2640
000158,0,390,178,463,242,73,64,4672
000159,0,103,156,324,376,221,220,48620
000160,0,305,157,345,195,40,38,1520
000161,0,382,154,419,202,37,48,1776
000162,0,184,93,495,418,311,325,101075
000163,1,127,169,201,226,74,57,4218
000164,1,179,166,261,257,82,91,7462
000165,0,284,100,367,178,83,78,6474
000166,0,338,106,406,186,68,80,5440
000167,0,206,125,279,207,73,82,5986
000168,0,162,127,332,262,170,135,22950
000169,0,323,158,421,237,98,79,7742
000170,1,19,71,187,173,168,102,17136
000171,0,179,67,328,141,149,74,11026
000172,0,199,92,293,142,94,50,4700
000173,0,267,116,465,270,198,154,30492
000174,0,131,119,313,272,182,153,27846
000175,0,264,94,473,267,209,173,36157
000176,0,349,109,539,258,190,149,28310
000177,0,287,119,379,197,92,78,7176
000178,1,193,71,335,172,142,101,14342
000179,1,217,74,342,145,125,71,8875
000180,1,349,85,525,289,176,204,35904
000181,1,333,85,511,280,178,195,34710
000182,1,243,94,465,301,222,207,45954
000183,1,130,118,546,409,416,291,121056
000184,0,255,92,691,479,436,387,168732
000185,0,286,186,606,475,320,289,92480
000186,1,234,85,504,338,270,253,68310
000187,0,315,93,372,155,57,62,3534
000188,0,184,75,545,419,361,344,124184
000189,0,322,52,701,393,379,341,129239
000190,0,151,185,475,443,324,258,83592
000191,0,280,103,483,367,203,264,53592
000192,0,197,82,364,185,167,103,17201
000193,0,152,91,609,331,457,240,109680
000194,1,188,140,403,363,215,223,47945
000195,1,204,84,610,332,406,248,100688
000196,1,342,165,473,280,131,115,15065
000197,0,385,125,567,262,182,137,24934
