duplicate_group,md5,image_id,split,class,width,height,xmin,ymin,xmax,ymax,bbox_area,annotation_identical_within_group
1,b895b9613a25d1139a860d6e88896fa8,000077,train,Malignant,498,429,172,124,236,194,4480,NO
1,b895b9613a25d1139a860d6e88896fa8,000078,train,Malignant,498,429,251,55,359,161,11448,NO
1,b895b9613a25d1139a860d6e88896fa8,000079,val,Malignant,498,429,109,86,201,143,5244,NO
2,9958a63d3f0b82a7277e42d6144ef2ed,000245,val,Benign,718,500,319,165,427,267,11016,NO
2,9958a63d3f0b82a7277e42d6144ef2ed,000246,test,Benign,718,500,520,130,570,182,2600,NO
3,9c34132a29d723ae2fc958d00cbb665e,000330,train,Benign,718,500,354,98,435,138,3240,NO
3,9c34132a29d723ae2fc958d00cbb665e,000331,val,Benign,718,500,341,240,388,260,940,NO
4,7ed283cc49db484abe41acc42402c53f,000355,train,Malignant,498,429,277,53,484,249,40572,NO
4,7ed283cc49db484abe41acc42402c53f,000386,val,Malignant,498,429,58,101,206,227,18648,NO
5,cf6036f09aa5bc5921aded299fba118c,000444,train,Benign,718,500,316,147,458,276,18318,NO
5,cf6036f09aa5bc5921aded299fba118c,000445,test,Benign,718,500,139,163,216,228,5005,NO
6,8cd9adc34f5d4ca462ab5fbd16e6a76b,000572,train,Benign,718,500,74,123,212,302,24702,NO
6,8cd9adc34f5d4ca462ab5fbd16e6a76b,000573,test,Benign,718,500,223,65,527,317,76608,NO
7,d0d31bd2b4b6700a2401354d2cd934c4,000627,val,Malignant,718,500,268,146,392,260,14136,NO
7,d0d31bd2b4b6700a2401354d2cd934c4,000629,train,Malignant,718,500,535,140,639,199,6136,NO
8,f3cf5bc78e3f1b81abd39653f6e393b1,000630,test,Benign,818,628,469,186,544,242,4200,NO
8,f3cf5bc78e3f1b81abd39653f6e393b1,000631,train,Benign,818,628,551,174,729,308,23852,NO
9,91dd53489b3692a404e88bb4dbc307ef,000648,train,Benign,718,500,203,81,404,179,19698,NO
9,91dd53489b3692a404e88bb4dbc307ef,000649,test,Benign,718,500,372,118,502,203,11050,NO
10,8a8cbe955cee848cce86199a598d242e,000884,train,Malignant,718,500,498,77,631,216,18487,NO
10,8a8cbe955cee848cce86199a598d242e,000885,val,Malignant,718,500,358,131,409,203,3672,NO
11,15ea2cc184b1133711682b44535e2987,000942,test,Malignant,718,500,260,184,344,262,6552,NO
11,15ea2cc184b1133711682b44535e2987,000943,train,Malignant,718,500,401,99,481,173,5920,NO
12,79f217c8345aab9c1c26e3ca2b832e8c,000965,train,Malignant,718,500,244,91,368,194,12772,NO
12,79f217c8345aab9c1c26e3ca2b832e8c,000966,test,Malignant,718,500,400,129,554,228,15246,NO
13,53d456044074fb9ded21a3e8d846b7bc,001029,train,Malignant,718,500,501,66,603,160,9588,NO
13,53d456044074fb9ded21a3e8d846b7bc,001030,test,Malignant,718,500,195,235,241,282,2162,NO
14,792d4cf88a33498cc79f66a91ed6bdb5,001097,test,Malignant,718,500,138,62,402,256,51216,NO
14,792d4cf88a33498cc79f66a91ed6bdb5,001098,train,Malignant,718,500,561,89,614,144,2915,NO
15,e9e2447226abf015ec6224df97ae480a,001262,train,Malignant,718,500,47,114,180,263,19817,NO
15,e9e2447226abf015ec6224df97ae480a,001263,test,Malignant,718,500,196,67,326,175,14040,NO
16,921eea705c5b67b46da8589246bbf011,001292,train,Malignant,718,500,220,135,376,244,17004,NO
16,921eea705c5b67b46da8589246bbf011,001293,val,Malignant,718,500,401,87,594,194,20651,NO
17,47acd283785ded9b0e5a42b8e4194de4,001298,train,Malignant,718,500,102,107,353,312,51455,NO
17,47acd283785ded9b0e5a42b8e4194de4,001299,test,Malignant,718,500,377,198,456,282,6636,NO
18,0b579a6a56351bd42c9d2bbce19fc495,001313,train,Malignant,718,500,368,119,454,196,6622,NO
18,0b579a6a56351bd42c9d2bbce19fc495,001314,test,Malignant,718,500,333,216,502,295,13351,NO
19,14f8243b62aa0e89dc56f5db6d2a296d,001402,train,Malignant,818,628,438,269,544,390,12826,NO
19,14f8243b62aa0e89dc56f5db6d2a296d,001403,test,Malignant,818,628,557,316,689,413,12804,NO
20,ac1d8810197b102e18f7e5681beee929,001445,train,Malignant,718,500,160,206,387,331,28375,NO
20,ac1d8810197b102e18f7e5681beee929,001446,test,Malignant,718,500,376,88,530,184,14784,NO
20,ac1d8810197b102e18f7e5681beee929,001447,train,Malignant,718,500,410,264,518,360,10368,NO
21,5601bcd9628e667d6050912daa89c0dd,001451,train,Malignant,718,500,509,83,681,211,22016,NO
21,5601bcd9628e667d6050912daa89c0dd,001452,val,Malignant,718,500,289,222,523,377,36270,NO
21,5601bcd9628e667d6050912daa89c0dd,001453,train,Malignant,718,500,546,290,662,395,12180,NO
22,4a0102b35a292b9ffe0ae2b857ffd1df,001561,train,Malignant,718,500,255,74,370,180,12190,NO
22,4a0102b35a292b9ffe0ae2b857ffd1df,001562,test,Malignant,718,500,409,77,518,172,10355,NO
23,733b0f0964e200c57151f357b52f6dee,001565,train,Malignant,718,500,276,89,394,164,8850,NO
23,733b0f0964e200c57151f357b52f6dee,001566,val,Malignant,718,500,432,87,535,168,8343,NO
24,4bb804de56ccb9718248ce2da3f11afe,001633,test,Malignant,718,500,467,160,514,220,2820,NO
24,4bb804de56ccb9718248ce2da3f11afe,001634,train,Malignant,718,500,91,153,176,228,6375,NO
25,28ffa620ac395fe3e8a3f214412b86f7,001656,train,Malignant,718,500,288,99,418,236,17810,NO
