duplicate_group,md5,images_in_group,splits,labels_consistent,annotations_identical,annotation_status
1,b895b9613a25d1139a860d6e88896fa8,3,"train,val",YES,NO,DIFFERENT
2,9958a63d3f0b82a7277e42d6144ef2ed,2,"test,val",YES,NO,DIFFERENT
3,9c34132a29d723ae2fc958d00cbb665e,2,"train,val",YES,NO,DIFFERENT
4,7ed283cc49db484abe41acc42402c53f,2,"train,val",YES,NO,DIFFERENT
5,cf6036f09aa5bc5921aded299fba118c,2,"test,train",YES,NO,DIFFERENT
6,8cd9adc34f5d4ca462ab5fbd16e6a76b,2,"test,train",YES,NO,DIFFERENT
7,d0d31bd2b4b6700a2401354d2cd934c4,2,"train,val",YES,NO,DIFFERENT
8,f3cf5bc78e3f1b81abd39653f6e393b1,2,"test,train",YES,NO,DIFFERENT
9,91dd53489b3692a404e88bb4dbc307ef,2,"test,train",YES,NO,DIFFERENT
10,8a8cbe955cee848cce86199a598d242e,2,"train,val",YES,NO,DIFFERENT
11,15ea2cc184b1133711682b44535e2987,2,"test,train",YES,NO,DIFFERENT
12,79f217c8345aab9c1c26e3ca2b832e8c,2,"test,train",YES,NO,DIFFERENT
13,53d456044074fb9ded21a3e8d846b7bc,2,"test,train",YES,NO,DIFFERENT
14,792d4cf88a33498cc79f66a91ed6bdb5,2,"test,train",YES,NO,DIFFERENT
15,e9e2447226abf015ec6224df97ae480a,2,"test,train",YES,NO,DIFFERENT
16,921eea705c5b67b46da8589246bbf011,2,"train,val",YES,NO,DIFFERENT
17,47acd283785ded9b0e5a42b8e4194de4,2,"test,train",YES,NO,DIFFERENT
18,0b579a6a56351bd42c9d2bbce19fc495,2,"test,train",YES,NO,DIFFERENT
19,14f8243b62aa0e89dc56f5db6d2a296d,2,"test,train",YES,NO,DIFFERENT
20,ac1d8810197b102e18f7e5681beee929,3,"test,train",YES,NO,DIFFERENT
21,5601bcd9628e667d6050912daa89c0dd,3,"train,val",YES,NO,DIFFERENT
22,4a0102b35a292b9ffe0ae2b857ffd1df,2,"test,train",YES,NO,DIFFERENT
23,733b0f0964e200c57151f357b52f6dee,2,"train,val",YES,NO,DIFFERENT
24,4bb804de56ccb9718248ce2da3f11afe,2,"test,train",YES,NO,DIFFERENT
25,28ffa620ac395fe3e8a3f214412b86f7,2,"test,train",YES,NO,DIFFERENT
26,ca0b235bafe057e2de11a1d8e7e7aaad,2,"train,val",YES,NO,DIFFERENT
27,6c122fc3282e0789f562316f886de2dc,2,"test,train",YES,NO,DIFFERENT
28,c8087505ce83743697195c879348bf75,2,"test,train",YES,NO,DIFFERENT
