duplicate_group,filename,category,splits
1,000077.jpg,CROSS_SPLIT_LEAKAGE,train
1,000078.jpg,CROSS_SPLIT_LEAKAGE,train
1,000079.jpg,CROSS_SPLIT_LEAKAGE,val
2,000134.jpg,same_split,train
2,000135.jpg,same_split,train
3,000245.jpg,CROSS_SPLIT_LEAKAGE,val
3,000246.jpg,CROSS_SPLIT_LEAKAGE,test
4,000330.jpg,CROSS_SPLIT_LEAKAGE,train
4,000331.jpg,CROSS_SPLIT_LEAKAGE,val
5,000355.jpg,CROSS_SPLIT_LEAKAGE,train
5,000386.jpg,CROSS_SPLIT_LEAKAGE,val
6,000444.jpg,CROSS_SPLIT_LEAKAGE,train
6,000445.jpg,CROSS_SPLIT_LEAKAGE,test
7,000490.jpg,same_split,train
7,000491.jpg,same_split,train
8,000572.jpg,CROSS_SPLIT_LEAKAGE,train
8,000573.jpg,CROSS_SPLIT_LEAKAGE,test
9,000605.jpg,same_split,test
9,000606.jpg,same_split,test
10,000627.jpg,CROSS_SPLIT_LEAKAGE,val
10,000629.jpg,CROSS_SPLIT_LEAKAGE,train
11,000630.jpg,CROSS_SPLIT_LEAKAGE,test
11,000631.jpg,CROSS_SPLIT_LEAKAGE,train
12,000648.jpg,CROSS_SPLIT_LEAKAGE,train
12,000649.jpg,CROSS_SPLIT_LEAKAGE,test
13,000884.jpg,CROSS_SPLIT_LEAKAGE,train
13,000885.jpg,CROSS_SPLIT_LEAKAGE,val
14,000942.jpg,CROSS_SPLIT_LEAKAGE,test
14,000943.jpg,CROSS_SPLIT_LEAKAGE,train
15,000965.jpg,CROSS_SPLIT_LEAKAGE,train
15,000966.jpg,CROSS_SPLIT_LEAKAGE,test
16,001029.jpg,CROSS_SPLIT_LEAKAGE,train
16,001030.jpg,CROSS_SPLIT_LEAKAGE,test
17,001097.jpg,CROSS_SPLIT_LEAKAGE,test
17,001098.jpg,CROSS_SPLIT_LEAKAGE,train
18,001102.jpg,same_split,train
18,001103.jpg,same_split,train
19,001262.jpg,CROSS_SPLIT_LEAKAGE,train
19,001263.jpg,CROSS_SPLIT_LEAKAGE,test
20,001292.jpg,CROSS_SPLIT_LEAKAGE,train
20,001293.jpg,CROSS_SPLIT_LEAKAGE,val
21,001298.jpg,CROSS_SPLIT_LEAKAGE,train
21,001299.jpg,CROSS_SPLIT_LEAKAGE,test
22,001313.jpg,CROSS_SPLIT_LEAKAGE,train
22,001314.jpg,CROSS_SPLIT_LEAKAGE,test
23,001397.jpg,same_split,train
23,001398.jpg,same_split,train
24,001402.jpg,CROSS_SPLIT_LEAKAGE,train
24,001403.jpg,CROSS_SPLIT_LEAKAGE,test
25,001445.jpg,CROSS_SPLIT_LEAKAGE,train
25,001446.jpg,CROSS_SPLIT_LEAKAGE,test
25,001447.jpg,CROSS_SPLIT_LEAKAGE,train
26,001449.jpg,same_split,train
26,001450.jpg,same_split,train
27,001451.jpg,CROSS_SPLIT_LEAKAGE,train
27,001452.jpg,CROSS_SPLIT_LEAKAGE,val
27,001453.jpg,CROSS_SPLIT_LEAKAGE,train
28,001561.jpg,CROSS_SPLIT_LEAKAGE,train
28,001562.jpg,CROSS_SPLIT_LEAKAGE,test
29,001563.jpg,same_split,train
29,001564.jpg,same_split,train
30,001565.jpg,CROSS_SPLIT_LEAKAGE,train
30,001566.jpg,CROSS_SPLIT_LEAKAGE,val
31,001633.jpg,CROSS_SPLIT_LEAKAGE,test
31,001634.jpg,CROSS_SPLIT_LEAKAGE,train
32,001654.jpg,same_split,train
32,001655.jpg,same_split,train
33,001656.jpg,CROSS_SPLIT_LEAKAGE,train
33,001657.jpg,CROSS_SPLIT_LEAKAGE,test
34,001666.jpg,same_split,test
34,001668.jpg,same_split,test
35,001863.jpg,same_split,train
35,001864.jpg,same_split,train
35,001865.jpg,same_split,train
36,001884.jpg,CROSS_SPLIT_LEAKAGE,val
36,001893.jpg,CROSS_SPLIT_LEAKAGE,train
37,001940.jpg,CROSS_SPLIT_LEAKAGE,train
37,001941.jpg,CROSS_SPLIT_LEAKAGE,test
38,002022.jpg,same_split,train
38,002024.jpg,same_split,train
39,002023.jpg,same_split,train
39,002025.jpg,same_split,train
40,002068.jpg,CROSS_SPLIT_LEAKAGE,train
40,002069.jpg,CROSS_SPLIT_LEAKAGE,test
41,002070.jpg,CROSS_SPLIT_LEAKAGE,train
41,002071.jpg,CROSS_SPLIT_LEAKAGE,test
42,002072.jpg,CROSS_SPLIT_LEAKAGE,test
42,002073.jpg,CROSS_SPLIT_LEAKAGE,train
43,002098.jpg,same_split,test
43,002099.jpg,same_split,test
44,002114.jpg,CROSS_SPLIT_LEAKAGE,val
44,002115.jpg,CROSS_SPLIT_LEAKAGE,train
45,002122.jpg,CROSS_SPLIT_LEAKAGE,train
45,002124.jpg,CROSS_SPLIT_LEAKAGE,test
46,002123.jpg,same_split,train
46,002126.jpg,same_split,train
47,002220.jpg,same_split,train
47,003427.jpg,same_split,train
48,002262.jpg,same_split,train
48,002263.jpg,same_split,train
