image_id,filename,width,height,mode
000001,000001.jpg,718,500,RGB
000002,000002.jpg,718,500,RGB
000003,000003.jpg,718,500,RGB
000004,000004.jpg,718,500,RGB
000005,000005.jpg,718,500,RGB
000006,000006.jpg,718,500,RGB
000007,000007.jpg,718,500,RGB
000008,000008.jpg,718,500,RGB
000009,000009.jpg,718,500,RGB
000010,000010.jpg,818,628,RGB
000011,000011.jpg,818,628,RGB
000012,000012.jpg,718,500,RGB
000013,000013.jpg,718,500,RGB
000014,000014.jpg,718,500,RGB
000015,000015.jpg,718,500,RGB
000016,000016.jpg,718,500,RGB
000017,000017.jpg,718,500,RGB
000018,000018.jpg,718,500,RGB
000019,000019.jpg,718,500,RGB
000020,000020.jpg,498,429,RGB
000021,000021.jpg,498,429,RGB
000022,000022.jpg,498,429,RGB
000023,000023.jpg,718,500,RGB
000024,000024.jpg,439,368,RGB
000025,000025.jpg,498,429,RGB
000026,000026.jpg,498,429,RGB
000027,000027.jpg,498,429,RGB
000028,000028.jpg,498,429,RGB
000029,000029.jpg,498,429,RGB
000030,000030.jpg,498,429,RGB
000031,000031.jpg,498,429,RGB
000032,000032.jpg,718,500,RGB
000033,000033.jpg,718,500,RGB
000034,000034.jpg,718,500,RGB
000035,000035.jpg,718,500,RGB
000036,000036.jpg,718,500,RGB
000037,000037.jpg,439,368,RGB
000038,000038.jpg,439,368,RGB
000039,000039.jpg,439,368,RGB
000040,000040.jpg,439,368,RGB
000041,000041.jpg,718,500,RGB
000042,000042.jpg,718,500,RGB
000043,000043.jpg,718,500,RGB
000044,000044.jpg,718,500,RGB
000045,000045.jpg,718,500,RGB
000046,000046.jpg,718,500,RGB
000047,000047.jpg,718,500,RGB
000048,000048.jpg,718,500,RGB
000049,000049.jpg,718,500,RGB
000050,000050.jpg,718,500,RGB
000051,000051.jpg,718,500,RGB
000052,000052.jpg,718,500,RGB
000053,000053.jpg,718,500,RGB
000054,000054.jpg,718,500,RGB
000055,000055.jpg,718,500,RGB
000056,000056.jpg,718,500,RGB
000057,000057.jpg,718,500,RGB
000058,000058.jpg,718,500,RGB
000059,000059.jpg,818,628,RGB
000060,000060.jpg,818,628,RGB
000061,000061.jpg,718,500,RGB
000062,000062.jpg,718,500,RGB
000063,000063.jpg,718,500,RGB
000064,000064.jpg,718,500,RGB
000065,000065.jpg,718,500,RGB
